IncidntNum,Category,Descript,DayOfWeek,Date,Time,Resolution,Address
81168330,VANDALISM,"MALICIOUS MISCHIEF, VANDALISM OF VEHICLES",Friday,10/31/2008,22:56,"ARREST, BOOKED",1400 Block of BUSH ST
60020242,OTHER OFFENSES,"DRIVERS LICENSE, SUSPENDED OR REVOKED",Friday,01/06/2006,10:50,"ARREST, CITED",BOSWORTH ST / LIPPARD AV
60399956,MISSING PERSON,MISSING ADULT,Wednesday,04/12/2006,09:00,LOCATED,1000 Block of HOWARD ST
90359776,OTHER OFFENSES,"DRIVERS LICENSE, SUSPENDED OR REVOKED",Monday,04/06/2009,13:35,"ARREST, CITED",POLK ST / BROADWAY ST
110455531,LARCENY/THEFT,GRAND THEFT FROM PERSON,Sunday,06/05/2011,17:30,NONE,100 Block of WESTPORTAL AV
100319072,NON-CRIMINAL,"AIDED CASE, MENTAL DISTURBED",Tuesday,04/06/2010,13:05,PSYCHOPATHIC CASE,300 Block of POTRERO AV
30936691,SUSPICIOUS OCC,SUSPICIOUS OCCURRENCE,Thursday,08/07/2003,12:00,NONE,600 Block of MISSION ST
121030227,ASSAULT,BATTERY,Saturday,12/22/2012,11:05,"ARREST, CITED",3000 Block of 17TH ST
81303611,OTHER OFFENSES,TRAFFIC VIOLATION,Saturday,12/06/2008,16:30,"ARREST, CITED",PERSIA AV / ATHENS ST
130236305,DRUNKENNESS,UNDER INFLUENCE OF ALCOHOL IN A PUBLIC PLACE,Thursday,03/21/2013,22:59,"ARREST, BOOKED",900 Block of MISSION ST
51465241,NON-CRIMINAL,LOST PROPERTY,Friday,12/30/2005,10:00,NONE,MCALLISTER ST / VANNESS AV
51308679,MISSING PERSON,MISSING ADULT,Wednesday,11/09/2005,08:00,LOCATED,1400 Block of SUTTER ST
100049677,STOLEN PROPERTY,RECEIVING STOLEN PROPERTY,Friday,01/15/2010,13:00,"ARREST, BOOKED",0 Block of 12TH ST
81263300,LARCENY/THEFT,GRAND THEFT OF PROPERTY,Tuesday,11/04/2008,00:01,NONE,MARKET ST / 3RD ST
90653051,LARCENY/THEFT,PETTY THEFT OF PROPERTY,Friday,06/26/2009,17:00,NONE,9TH ST / MISSION ST
60222915,LARCENY/THEFT,GRAND THEFT OF PROPERTY,Saturday,02/25/2006,01:00,NONE,3200 Block of SCOTT ST
61344306,RECOVERED VEHICLE,RECOVERED VEHICLE - STOLEN OUTSIDE SF,Tuesday,12/19/2006,14:01,NONE,0 Block of KELLOCH AV
120141532,MISSING PERSON,MISSING ADULT,Sunday,02/19/2012,12:20,NONE,800 Block of CENTRAL AV
30864127,VEHICLE THEFT,"VEHICLE, RECOVERED, AUTO",Sunday,07/20/2003,16:30,NONE,POLK ST / GROVE ST
60919924,WEAPON LAWS,DISCHARGE FIREARM AT AN INHABITED DWELLING,Tuesday,08/29/2006,11:14,COMPLAINANT REFUSES TO PROSECUTE,0 Block of DUKES CT
70999825,WARRANTS,WARRANT ARREST,Saturday,09/29/2007,09:55,"ARREST, BOOKED",TAYLOR ST / MARKET ST
130115674,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Saturday,02/09/2013,14:30,NONE,FELL ST / GOUGH ST
110323502,ASSAULT,BATTERY WITH SERIOUS INJURIES,Thursday,04/21/2011,09:53,"ARREST, BOOKED",400 Block of EDDY ST
70903230,LARCENY/THEFT,GRAND THEFT PICKPOCKET,Monday,09/03/2007,06:00,NONE,MARKET ST / JONES ST
40862359,NON-CRIMINAL,"AIDED CASE, MENTAL DISTURBED",Thursday,07/29/2004,12:35,PSYCHOPATHIC CASE,900 Block of MARKET ST
120195608,ROBBERY,"ROBBERY OF A COMMERCIAL ESTABLISHMENT, STRONGARM",Friday,03/09/2012,12:02,NONE,1200 Block of JACKSON ST
60107301,FORGERY/COUNTERFEITING,"CHECKS, FORGERY (FELONY)",Saturday,01/28/2006,10:00,"ARREST, BOOKED",1000 Block of MARKET ST
91083320,LARCENY/THEFT,GRAND THEFT FROM UNLOCKED AUTO,Tuesday,10/20/2009,20:40,NONE,200 Block of INTERSTATE80 HY
116122776,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Sunday,09/25/2011,00:01,NONE,OAK ST / COLE ST
61036597,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Monday,09/18/2006,17:00,NONE,1200 Block of LAGUNA ST
110190179,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Saturday,03/05/2011,22:00,NONE,3200 Block of 21ST ST
51024336,ASSAULT,AGGRAVATED ASSAULT WITH A DEADLY WEAPON,Monday,09/12/2005,03:15,NONE,900 Block of MARKET ST
50792053,VEHICLE THEFT,STOLEN AND RECOVERED VEHICLE,Wednesday,07/06/2005,01:30,NONE,HOWARD ST / 7TH ST
41036636,SUSPICIOUS OCC,SUSPICIOUS OCCURRENCE,Thursday,09/09/2004,04:05,NONE,400 Block of RAYMOND AV
130833973,BURGLARY,"BURGLARY, FORCIBLE ENTRY",Tuesday,10/01/2013,08:00,NONE,2100 Block of VANNESS AV
71267099,LARCENY/THEFT,GRAND THEFT FROM PERSON,Saturday,12/01/2007,09:00,NONE,800 Block of BRYANT ST
121014312,TRESPASS,LODGING WITHOUT PERMISSION,Monday,12/17/2012,06:20,"ARREST, CITED",300 Block of LEAVENWORTH ST
100165289,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Tuesday,02/16/2010,18:00,NONE,500 Block of BATTERY ST
50507909,NON-CRIMINAL,IMPOUNDED VEHICLE,Saturday,05/07/2005,08:07,NONE,500 Block of GEARY ST
110073484,NON-CRIMINAL,LOST PROPERTY,Monday,01/24/2011,14:15,NONE,3300 Block of 16TH ST
136233563,VANDALISM,"MALICIOUS MISCHIEF, VANDALISM OF VEHICLES",Thursday,12/12/2013,13:00,NONE,1300 Block of WEBSTER ST
30671728,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Monday,06/02/2003,18:15,NONE,3RD ST / BERRY ST
51108350,SUSPICIOUS OCC,SUSPICIOUS OCCURRENCE,Saturday,10/01/2005,10:33,NONE,0 Block of CASHMERE ST
30360943,VANDALISM,"MALICIOUS MISCHIEF, VANDALISM OF VEHICLES",Wednesday,03/26/2003,20:00,NONE,200 Block of BROOKDALE AV
130428386,ASSAULT,THREATS AGAINST LIFE,Friday,05/24/2013,18:00,NONE,2100 Block of MASON ST
120887974,VANDALISM,"MALICIOUS MISCHIEF, VANDALISM",Friday,11/02/2012,23:30,"ARREST, CITED",100 Block of VICTORIA ST
120264388,ASSAULT,THREATS AGAINST LIFE,Tuesday,04/03/2012,09:25,NONE,20TH ST / VALENCIA ST
126122772,NON-CRIMINAL,LOST PROPERTY,Monday,08/20/2012,23:00,NONE,BALBOA ST / 23RD AV
110124316,VANDALISM,"MALICIOUS MISCHIEF, VANDALISM",Thursday,02/10/2011,11:10,"ARREST, BOOKED",100 Block of OFARRELL ST
51394769,LARCENY/THEFT,ATTEMPTED THEFT FROM LOCKED VEHICLE,Saturday,12/10/2005,14:00,NONE,1800 Block of SUTTER ST
91259383,SUSPICIOUS OCC,SUSPICIOUS PERSON,Wednesday,12/09/2009,17:11,NONE,2000 Block of MARKET ST
120203580,DRUG/NARCOTIC,POSSESSION OF HEROIN,Monday,03/12/2012,00:14,"ARREST, BOOKED",LARKIN ST / TURK ST
50874639,NON-CRIMINAL,FOUND PROPERTY,Monday,08/01/2005,09:00,NONE,800 Block of BRYANT ST
101104416,OTHER OFFENSES,MISCELLANEOUS INVESTIGATION,Thursday,11/25/2010,10:00,NONE,2700 Block of SACRAMENTO ST
90267975,OTHER OFFENSES,"DRIVERS LICENSE, SUSPENDED OR REVOKED",Friday,03/13/2009,11:35,"ARREST, CITED",800 Block of BRYANT ST
30927258,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Tuesday,08/05/2003,21:00,NONE,2000 Block of POST ST
50778291,ASSAULT,THREATS AGAINST LIFE,Tuesday,07/12/2005,12:30,NONE,1000 Block of INGERSON AV
40080733,VEHICLE THEFT,STOLEN TRUCK,Saturday,11/01/2003,18:00,NONE,NEWHALL ST / OAKDALE AV
130244643,OTHER OFFENSES,PROBATION VIOLATION,Sunday,03/24/2013,19:21,"ARREST, BOOKED",1500 Block of HOWARD ST
90334875,TRESPASS,TRESPASSING,Tuesday,03/31/2009,06:44,"ARREST, BOOKED",500 Block of OFARRELL ST
80006147,MISSING PERSON,FOUND PERSON,Wednesday,01/02/2008,08:00,NONE,1400 Block of PHELPS ST
50388226,LARCENY/THEFT,PETTY THEFT SHOPLIFTING,Friday,04/08/2005,13:00,"ARREST, CITED",200 Block of WINSTON DR
130876343,WARRANTS,ENROUTE TO PAROLE OFFICER,Wednesday,10/16/2013,13:36,"ARREST, BOOKED",GROVE ST / BUCHANAN ST
130900152,BURGLARY,"BURGLARY OF APARTMENT HOUSE, UNLAWFUL ENTRY",Tuesday,10/22/2013,15:35,"ARREST, BOOKED",2300 Block of POLK ST
40075126,LARCENY/THEFT,PETTY THEFT FROM LOCKED AUTO,Monday,01/19/2004,09:00,NONE,500 Block of MELROSE AV
80442331,ROBBERY,"ROBBERY ON THE STREET, STRONGARM",Monday,04/28/2008,05:15,NONE,SILVER AV / DARTMOUTH ST
41289396,DRUG/NARCOTIC,POSSESSION OF NARCOTICS PARAPHERNALIA,Thursday,11/11/2004,12:45,"ARREST, BOOKED",PHELPS ST / INNES AV
80116150,OTHER OFFENSES,"DRIVERS LICENSE, SUSPENDED OR REVOKED",Saturday,02/02/2008,20:09,"ARREST, CITED",2600 Block of HARRISON ST
96048482,LARCENY/THEFT,PETTY THEFT OF PROPERTY,Monday,06/29/2009,19:00,NONE,0 Block of CASELLI AV
30285329,DRUG/NARCOTIC,POSSESSION OF CONTROLLED SUBSTANCE,Sunday,03/09/2003,23:57,"ARREST, BOOKED",0 Block of GOLDEN GATE AV
90080658,BURGLARY,"BURGLARY, HOT PROWL, UNLAWFUL ENTRY",Thursday,01/22/2009,14:00,NONE,2000 Block of 16TH AV
40605400,LARCENY/THEFT,GRAND THEFT FROM PERSON,Wednesday,05/26/2004,18:14,"ARREST, BOOKED",3000 Block of MISSION ST
81110369,OTHER OFFENSES,HARASSING PHONE CALLS,Wednesday,10/01/2008,10:00,NONE,1400 Block of TENNESSEE ST
81064374,VANDALISM,"MALICIOUS MISCHIEF, VANDALISM OF VEHICLES",Saturday,10/04/2008,17:00,NONE,100 Block of TIFFANY AV
70856037,LARCENY/THEFT,PETTY THEFT WITH PRIOR,Wednesday,08/22/2007,13:55,"ARREST, BOOKED",800 Block of MARKET ST
100421809,PROSTITUTION,LOITERING FOR PURPOSE OF PROSTITUTION,Friday,05/07/2010,01:20,"ARREST, BOOKED",2500 Block of FOLSOM ST
60828472,WARRANTS,WARRANT ARREST,Saturday,08/05/2006,14:25,"ARREST, BOOKED",1200 Block of MARKET ST
61048724,BURGLARY,"BURGLARY OF STORE, UNLAWFUL ENTRY",Sunday,10/01/2006,15:00,"ARREST, BOOKED",800 Block of HOWARD ST
100682891,OTHER OFFENSES,RESTRAINING ORDER NOTIFICATION/SERVICE OF RESTRAINING ORDER,Monday,07/26/2010,11:12,NONE,200 Block of CLAYTON ST
130249734,LARCENY/THEFT,PETTY THEFT FROM A BUILDING,Tuesday,03/26/2013,12:10,NONE,0 Block of BUSH ST
70842826,WARRANTS,ENROUTE TO OUTSIDE JURISDICTION,Sunday,08/19/2007,07:10,"ARREST, BOOKED",400 Block of BROADWAY ST
30575540,SUSPICIOUS OCC,"SUSPICIOUS OCCURRENCE, POSSIBLE SHOTS FIRED",Sunday,05/11/2003,01:36,NONE,1700 Block of FULTON ST
60927745,VEHICLE THEFT,STOLEN AUTOMOBILE,Tuesday,08/29/2006,15:00,NONE,400 Block of 14TH ST
120654648,LARCENY/THEFT,PETTY THEFT FROM A BUILDING,Friday,08/17/2012,12:45,NONE,1600 Block of FUNSTON AV
100481524,SUSPICIOUS OCC,INVESTIGATIVE DETENTION,Monday,05/24/2010,13:36,NONE,0 Block of ARGONAUT AV
126077064,LARCENY/THEFT,GRAND THEFT OF PROPERTY,Thursday,05/31/2012,15:00,NONE,1600 Block of THE EMBARCADERONORTH ST
90016954,LARCENY/THEFT,PETTY THEFT FROM LOCKED AUTO,Monday,01/05/2009,23:21,NONE,200 Block of INTERSTATE80 HY
60722200,NON-CRIMINAL,"DEATH REPORT, NATURAL CAUSES",Saturday,07/01/2006,10:00,NONE,0 Block of GEARY ST
60128589,"SEX OFFENSES, FORCIBLE","ATTEMPTED RAPE, BODILY FORCE",Wednesday,11/30/2005,02:00,NONE,8TH ST / MINNA ST
76096213,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Sunday,12/30/2007,18:20,NONE,2500 Block of WASHINGTON ST
30191920,LARCENY/THEFT,GRAND THEFT FROM A BUILDING,Wednesday,02/05/2003,14:30,NONE,0 Block of CALIFORNIA ST
101177764,VEHICLE THEFT,STOLEN AND RECOVERED VEHICLE,Sunday,10/24/2010,08:30,NONE,0 Block of CORAL RD
100030494,DRUG/NARCOTIC,POSSESSION OF BASE/ROCK COCAINE,Sunday,01/10/2010,06:48,"ARREST, BOOKED",MARKET ST / 6TH ST
90278734,WARRANTS,ENROUTE TO OUTSIDE JURISDICTION,Monday,03/16/2009,23:32,"ARREST, BOOKED",6TH ST / HOWARD ST
76058069,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Thursday,08/09/2007,18:05,NONE,0 Block of HAWTHORNE ST
80562280,OTHER OFFENSES,MISCELLANEOUS INVESTIGATION,Thursday,05/29/2008,07:40,NONE,1500 Block of EVANS AV
71120390,ARSON,ARSON,Thursday,11/01/2007,10:00,NONE,1000 Block of HOWARD ST
51096686,LARCENY/THEFT,GRAND THEFT AUTO STRIP,Tuesday,09/27/2005,18:00,NONE,0 Block of FAIRMOUNT ST
70431946,ASSAULT,BATTERY,Friday,04/27/2007,15:10,DISTRICT ATTORNEY REFUSES TO PROSECUTE,500 Block of CLARENDON AV
